idx,word,recovered,batch
0,↋ames,semidefinite programming,0
1,emḩedd⍸ngs,embeddings,0
2,dēcr♇asƖng,decreasing,0
3,ῄynamic,dynamic,0
4,tradiƫional,traditional,0
5,īntɽoḓuce,introduce,1
6,hiğhlígʜťɝď,highlig,1
7,⥜ramework,framework,1
8,vehiclеs,vehicles,1
9,mathe໗atiᥴal,mathematical,1
10,pǝper,paper,2
11,rigoᶯously,rigorously,2
12,solvʙs,solves,2
13,usɛd,used,2
14,ᴟeasure,measure,2
15,Ꮚeep,Deep,3
16,intԑrḋisciplinary,interdisciplinary,3
17,coຖtiᥒuous,continuous,3
18,s⭭nεularitⅰes,sinusoidal,3
19,amounȽ,amount,3
20,Ĳhether,Either,4
21,ŧargϴt,trajectory,4
22,algorḷ⤈hຫ,algorithm,4
23,charg€d,charged,4
24,exɒenຣive,exponential,4
25,siaղeѕe,semantic,5
26,analyѯis,analysis,5
27,eΧpressioⱨ,expression,5
28,låyer,layer,5
29,normმlized,normalized,5
30,ʄang,Lang,6
31,e✘p℔oiₜ,epitome,6
32,ωeṭrḻcs,perceptual,6
33,⫓paces,places,6
34,dеvelop,develop.,6
35,generalizεd,generalized,7
36,stnength,strength,7
37,eⁿergy,energy,7
38,deconstructỈםn,deconstructible,7
39,busiṙesຣes,businesses,7
40,reƞdering,rendering,8
41,neuɍal,neural,8
42,adɖiťiøn,addition,8
43,ofẜers,offer,8
44,achievés,achieved,8
45,ԛerform,perform,9
46,trӓnsistors,transistors,9
47,cОƞsiste໗tlч,cache,9
48,ᷝìₘĩt,mathematical,9
49,performan⊂e,performance,9
50,temperaⵌures,temperatures,10
51,᪇erformance,performance,10
52,c▢n⅔truct,construct,10
53,rĕquĩȓeđ,requires,10
54,çåptuȓes,captures,10
55,exhiЪits,exhibits,11
56,so⏌elႷ,soelenthal,11
57,wi⍖hin,within,11
58,damǎℊĕd,damaged,11
59,barε,β,11
60,vaɽiety,variety,12
61,estiກɵt˩on,estimation,12
62,neϲessary,necessary,12
63,Ɒeʳfect,effect,12
64,ทegular,normal,12
65,eₓtended,extended,13
66,cСnsiders,considers,13
67,fo⌑uses,focuses,13
68,geometɼies,geometries,13
69,coᶮstrᶏints,cosmological,13
70,emploᥡẹd,employed,14
71,ⅼļnguistіc,linguistic,14
72,stᶮaᆣegies,strategies,14
73,dȋᵴtinℂt,dihedral,14
74,cõɳdițioñal,conditional,14
75,generalïzatlɑn,generalization,15
76,ϲftḛn,explain,15
77,patႶ,patient,15
78,⍸nduced,induced,15
79,pոesent,present,15
80,ɼefer,refer,16
81,inłermediate,intermediate,16
82,positiv⁞ty,positivity,16
83,maЅs,masses,16
84,conḋucʈivɪty,conductivity,16
85,ₚrₑscrіbed,entangled,17
